"college_names","college_zipcodes","college_latitudes","college_longitudes","college_admission_rates","college_STEM_degrees","college_in_state_cost","college_out_state_cost","public_avg_cost_25","public_avg_cost_50","public_avg_cost_75","public_avg_cost_100","public_avg_cost_rest","private_avg_cost_25","private_avg_cost_50","private_avg_cost_75","private_avg_cost_100","private_avg_cost_rest","title_4_public","title_4_private","faculty_salary","median_grad_debt","household_income","grad_income_10th.2","grad_income_25th.2","grad_income_75th.2","grad_income_90th.2","grad_income_10th.6","grad_income_25th.6","grad_income_75th.6","grad_income_90th.6"
"Missouri University of Science and Technology",65409,37.955853,-91.7759,0.8808,0.0462,9048,24470,10728,11328,13857,15866,16464,NA,NA,NA,NA,NA,629,NA,10363,24563,59935.86,15900,34500,73400,86200,20800,38800,88900,100500
"University of Missouri-St Louis",NA,38.711297,-90.308886,0.7588,0,9394,23812,7365,8106,11181,14035,13413,NA,NA,NA,NA,NA,286,NA,8412,20987.5,64068.51,10600,22600,47700,65000,10800,27800,58800,79700
"Moberly Area Community College",NA,39.418607,-92.455064,NA,0.0051,3060,6120,6969,7385,8583,9546,9616,NA,NA,NA,NA,NA,621,NA,5137,9382,47003.85,4700,12800,32800,44900,5100,17500,40200,56600
"Hillyard Technical Center",NA,39.768022,-94.808721,0.65,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,48198.58,NA,NA,NA,NA,NA,NA,NA,NA
"National Academy of Beauty Arts-St Louis",NA,38.523473,-90.362748,NA,0,NA,NA,NA,NA,NA,NA,NA,10719,11628,11707,NA,13645,NA,84,NA,9855,61452.04,2800,9100,25100,33100,4900,9800,30600,45400
"Nazarene Theological Seminary",NA,39.01078,-94.566459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neosho Beauty College",NA,36.869945,-94.3682,NA,0,NA,NA,NA,NA,NA,NA,NA,6684,6390,8895,NA,NA,NA,17,NA,7792,43315.79,NA,NA,NA,NA,NA,NA,NA,NA
"Truman State University",NA,40.188238,-92.580531,0.7897,0,7456,13680,7823,9656,12354,14343,15942,NA,NA,NA,NA,NA,603,NA,6974,22656,64318.95,11900,22700,45400,55600,16100,30400,62800,78600
"Northwest Missouri State University",NA,40.352706,-94.884341,0.7495,0.0115,6767,11823,7020,7298,10745,13266,14519,NA,NA,NA,NA,NA,624,NA,6670,25000,55791.06,12100,20900,40900,50600,15200,25700,51700,75800
"Ozark Christian College",64801,37.105242,-94.510906,NA,0,11800,11800,NA,NA,NA,NA,NA,11281,11901,12359,16937,16104,NA,106,4877,17500,54292.89,5000,16900,34100,44600,5200,17800,42600,58300
"College of the Ozarks",NA,36.616019,-93.238174,0.1236,0,18730,18730,NA,NA,NA,NA,NA,13809,14020,13018,13933,13127,NA,200,7140,NA,46804.8,7800,17400,36300,42700,10000,22000,46100,60400
"Park University",NA,39.189477,-94.677086,0.4038,0,11470,11470,NA,NA,NA,NA,NA,14473,15094,16895,20440,18195,NA,87,6345,19500,57220.12,11400,24400,52800,75900,12300,29200,64100,86800
"Stevens-The Institute of Business & Arts",63103,38.63292,-90.201111,1,0,13230,13230,NA,NA,NA,NA,NA,17226,20576,22956,NA,NA,NA,3,4542,33233.5,50380.57,4100,NA,NA,41000,3200,14400,35300,48000
"Poplar Bluff Technical Career Center",NA,36.7555,-90.3945,NA,0,NA,NA,14201,16768,17958,21318,NA,NA,NA,NA,NA,NA,31,NA,NA,9500,35879.7,NA,NA,NA,NA,NA,NA,NA,NA
"Ranken Technical College",NA,38.652886,-90.249045,NA,0.3043,14457,14457,NA,NA,NA,NA,NA,14381,13802,16488,18492,20429,NA,238,5042,13750,60188.55,9800,23900,54600,70200,12500,28800,66700,83200
